,,,,,,,,,,,,
,,,,,,,,,,,,
,ИД Но.,Секция,Подсекция,Елемент,Описание,Тип,Източник на получаване на данните,Режим на докладване (задължителен или незадължителен) за секции/подсекции/структури елементи,Синтактични валидационни правила,Семантични валидационни правила,Стойност по подразбиране,Бележки
,S.I.56,,,ToDate,Крайна дата на доставките,Date,,Mandatory,Валидиране съгласно стандарт ISO 8601,N/A,N/A,"Датата и часът се попълват в отчетния файл SAF-T, като се използва стандартът ISO 8601, който определя следния формат YYYY-MM-DD

Пример за формат за дата: 2020-10-03, 2021-04-12"
,S.I.57,,References,CreditNote,,CreditNote,,Optional,N/A,N/A,N/A,
,S.I.58,,CreditNote,Reference,"Препратка (номер или друг идентификатор) към кредитното известие (ако е приложимо), издадено за тази фактура",SAFmiddle1textType,ERP,Optional,N/A,N/A,N/A,
,S.I.59,,,Reason,Основание за кредитното известие,SAFlongtextType,ERP,Optional,N/A,N/A,N/A,
,S.I.60,,InvoiceSettlement,SettlementDiscount,Описание на остъпката,SAFmiddle1textType,ERP,Optional,N/A,N/A,N/A,
,S.I.61,,,SettlementAmount,Сума на плащане по фактурата,AmountStructure, ,Mandatory,N/A,N/A,N/A,
,S.I.62,,,SettlementDate,Дата на плащане,Date,ERP,Optional,Валидиране съгласно стандарт ISO 8601,N/A,N/A,"Датата и часът се попълват в отчетния файл SAF-T, като се използва стандартът ISO 8601, който определя следния формат YYYY-MM-DD

Пример за формат за дата: 2020-10-03, 2021-04-12"
,S.I.63,,,PaymentMechanism,"Механизъм на плащане, съгласно предоставената номенклатура (Nom_PaymentMethod)",SAFcodeType,ERP,Optional,N/A,За валидиране се използва номенклатурата  Nom_PaymentMethod,N/A,Попълва се съгласно кодовете в номенклатурата: Nom_PaymentMethod.
,S.I.64,,InvoiceDocumentTotals,TaxInformationTotals,"Контролни суми по вид данък и TaxCode. Тази структура е част от общите суми за плащането, ако по отделните редове на конкретното плащане има начислени данъци, то те следва да бъдат сумирани (TaxBase и TaxAmount) по вид в този елемент.",Tax Information Structure, ,Optional,N/A,N/A,N/A,
,S.I.65,,,ShippingCostsAmountTotal,Контролни суми за транспортни разход. Полето сумира всички стойности за разходи за доставка (ShippingCostAmount) от редовете на документа.,SAFmonetaryType,ERP,Optional,"Десетично число с разделител - десетична точка, максимум 2 (две) цифри след десетичната точка.
Проверка на десетично число",N/A,N/A,Число с два знака след десетичната точка.
,S.I.66,,,NetTotal,"Контролна сума за фактурата, без данъци, такси и транспортни разходи. Полето съдържа сума на InvoiceLineAmount от редовете на документа.",SAFmonetaryType,ERP,Mandatory,"Десетично число с разделител - десетична точка, максимум 2 (две) цифри след десетичната точка.
Проверка на десетично число",N/A,N/A,Число с два знака след десетичната точка.
,S.I.67,,,GrossTotal,"Контролна сума за фактурата, включително данъци, такси и транспортни разходи. Обща сума на фактурата - следва да съдържа сума на InvoiceLineAmount, ShippingCostAmount и TaxAmount от всички редове на документа.",SAFmonetaryType,ERP,Mandatory,"Десетично число с разделител - десетична точка, максимум 2 (две) цифри след десетичната точка.
Проверка на десетично число",N/A,N/A,Число с два знака след десетичната точка.
,S.PN.1,,5.11 PersonNameStructure,Title,Не се изисква,SAFcodeType,,Optional,N/A,N/A,N/A,
,S.PN.2,,,FirstName,Първо име,SAFmiddle1textType, ,Mandatory,N/A,N/A,N/A,
,S.PN.3,,,Initials,Инициали.,SAFshorttextType,,Optional,N/A,N/A,N/A,
,S.PN.4,,,LastNamePrefix,"Текстов израз на префикс, който предхожда фамилното име на този човек, като Van, Von.",SAFshorttextType,,Optional,N/A,N/A,N/A,
,S.PN.5,,,LastName,Фамилия на лицето,SAFmiddle2textType, ,Mandatory,N/A,N/A,N/A,
,S.PN.6,,,BirthName,Име на лицето.,SAFmiddle2textType,,Optional,N/A,N/A,N/A,
,S.PN.7,,,Salutation,Официален знак или обръщение,SAFshorttextType, ,Optional,N/A,N/A,N/A,
,S.PN.8,,,OtherTitles,Длъжност,SAFmiddle1textType, ,Mandatory,N/A,N/A,N/A,
,S.SC.1,,5.12 SelectionCriteriaStructure,TaxReportingJurisdiction,"Идентифицира данъчната юрисдикция, за целите на която е създадена SAF-T. Основно за използване, когато един орган по приходите обхваща повече от една територия",SAFmiddle1textType, ,Optional,N/A,N/A,N/A,
,S.SC.2,,,CompanyEntity,"За използване, когато данните са извлечени от пълния набор от данни чрез филтриране на конкретно юридическо лице. В случаите, в които информационната система на данъкоплатеца съдържа информация за повече от едно юридически лица.",SAFmiddle2textType, ,Optional,N/A,N/A,N/A,
,S.SC.3,,,SelectionStartDate,"Началната дата за отчетния период, обхванат от SAFТ. 
Може да се попълни или този елемент или елементите PeriodStart, PeriodStartYear.",Date, ,Mandatory,Валидиране съгласно стандарт ISO 8601,"Изберете периода чрез попълване на двойката (SelectionStartDate, SelectionEndDate) или двойката (PeriodStart, PeriodStartYear) (PeriodEnd, PeriodEndYear))

",N/A,"Датата и часът се попълват в отчетния файл SAF-T, като се използва стандартът ISO 8601, който определя следния формат YYYY-MM-DD

Пример за формат за дата: 2020-10-03, 2021-04-12"
,S.SC.4,,,SelectionEndDate,"Крайната дата за отчетния период, обхванат от SAFТ.
Може да се попълни или този елемент или елементите PeriodEnd, PeriodEndYear.",Date, ,Mandatory,Валидиране съгласно стандарт ISO 8601,,N/A,"Датата и часът се попълват в отчетния файл SAF-T, като се използва стандартът ISO 8601, който определя следния формат YYYY-MM-DD

Пример за формат за дата: 2020-10-03, 2021-04-12"
,S.SC.5,,,PeriodStart,"Първият счетоводен период, обхванат от SAFТ. 
",nonNegativeInteger, ,Mandatory  ,N/A,,N/A,
,S.SC.6,,,PeriodStartYear,"Година на счетоводният период, в който попада PeriodStart.
",nonNegativeInteger, ,Mandatory  ,N/A,,N/A,
,S.SC.7,,,PeriodEnd,"Последен счетоводен период, обхванат от SAF-Т.
",nonNegativeInteger, ,Mandatory  ,N/A,,N/A,
,S.SC.8,,,PeriodEndYear,"Година на счетоводният период, в който попада PeriodEnd.
",nonNegativeInteger, ,Mandatory  ,N/A,,N/A,
,S.SC.9,,,Document type,"Тип на избраните документи. За използване, когато данните са ограничени по отношение на определен вид транзакция(например само фактури за продажба)",SAFlongtextType, ,Optional,N/A,N/A,N/A,
,S.SC.10,,,Other Criteria,"Всякакви други критерии, използвани при избора на данни. Отделните органи по приходите могат да пожелаят да изготвят списък с  критерии за подбор, които да се използват в рамките на тяхната юрисдикция.",SAFlongtextType, ,Optional,N/A,N/A,N/A,
,S.SP.1,,5.13 ShippingPointStructure,DeliveryID,Идентификатор на доставката,SAFmiddle1textType,ERP,Optional,N/A,N/A,N/A,
,S.SP.2,,,DeliveryDate,Дата на доставка на стоките,Date,ERP,Optional,Валидиране съгласно стандарт ISO 8601,N/A,N/A,"Датата и часът се попълват в отчетния файл SAF-T, като се използва стандартът ISO 8601, който определя следния формат YYYY-MM-DD

Пример за формат за дата: 2020-10-03, 2021-04-12"
,S.SP.3,,,WarehouseID,"Складът, в който се съхраняват стоките, следва да се включат складови или производствени помещения и площадки с незавършено производство, както и превозни средства или други, които съдържат стоки на път",SAFmiddle1textType,ERP,Optional,N/A,N/A,N/A,
,S.SP.4,,,LocationID,Локация на стоките в склада,SAFmiddle1textType,ERP,Optional,N/A,N/A,N/A,
,S.SP.5,,,UCR,Уникален идентификатор на консигнационна стока,SAFmiddle1textType,ERP,Optional,N/A,N/A,N/A,
,S.SP.6,,,Address,,Address Structure, ,Optional,N/A,N/A,N/A,
,S.TID.1,,5.14 TaxIDStructure,TaxRegistrationNumber,Регистрационен номер по ДДС на дружеството,SAFmiddle1textType, ,Mandatory,N/A,,N/A,
,S.TID.2,,,TaxType,"За използване, когато информацията, отчетена в SAF-T, обхваща повече от един вид данъчен режим: да се идентифицира видът на данъчния режим, за който се отнася това вписване. 

За да попълните полето, използвайте кодовете от номенклатурата  VAT_TaxType",SAFcodeType,,Optional,Валидиране съгласно номенклатурата  VAT_TaxType,N/A,N/A,"Попълва се съгласно кодовете в номенклатурата VAT_TaxType
"
,S.TID.3,,,TaxNumber,Данъчен номер на дружеството,SAFmiddle1textType, ,Optional,N/A,N/A,N/A,
,S.TID.4,,,TaxAuthority,"Идентификация на данъчната администрация, за който се отнася този TaxType. ",SAFmiddle1textType, ,Optional,,N/A,NRA,"Попълнено с наименованието на данъчната администрация, например за България: ""НАП"""
,S.TID.5,,,TaxVerificationDate,"Датата, на която данните за данъчната регистрация, посочени по-горе, са били последно проверени (дата на ДДС регистрация)",Date, ,Optional,"Валидиране съгласно стандарт ISO 8601
",N/A,N/A,"Датата и часът се попълват в отчетния файл SAF-T, като се използва стандартът ISO 8601, който определя следния формат YYYY-MM-DD

Пример за формат за дата: 2020-10-03, 2021-04-12"
,S.TI.1,,5.15 TaxInformationStructure,TaxType,"TaxType референция към предоставената таблица (За да попълните полето, използвайте кодовете от номенклатурата TAX-IMP ).",SAFcodeType,ERP,Mandatory,Валидиране спрямо предоставения от НАП списък на TaxTypes ,N/A,N/A,"Попълнено съгласно таблицата Видове данъци, представена от НАП в номенклатура TAX-IMP. "
,S.TI.2,,,TaxCode,"TaxCode референция.
За да попълните полето, използвайте кодовете от номенклатурата  TAX-IMP.",SAFcodeType,ERP,Mandatory,Валидация съгласно предоставения от НАП списък TaxCode ,N/A,N/A,Попълнено съгласно таблицата TAX-IMP
,S.TI.3,,,TaxPercentage,Данъчна ставка,Decimal,ERP,Optional,Проверка на десетично число ,N/A,N/A,
,S.TI.4,,,TaxBase,"Сума на основата, върху която се изчислява данъкът. ",Decimal,ERP,Optional,Проверка на десетично число ,N/A,N/A,
,S.TI.5,,,TaxBaseDescription,Описание на стойността в TaxBase,SAFmiddle2textType,ERP,Optional,N/A,N/A,N/A,
,S.TI.6,,,TaxAmount,Сума на данъка,AmountStructure, ,Mandatory,N/A,N/A,N/A,
,S.TI.7,,,TaxExemptionReason,Причина или обосновка за освобождаване от данък или намалена ставка,SAFmiddle2textType,ERP,Optional,N/A,N/A,N/A,
,S.TI.8,,,TaxDeclarationPeriod,"Номер на декларацията, в която е бил отчетен данъка",SAFmiddle1textType,ERP,Optional,N/A,N/A,N/A,
,S.O.1,,5.16 OwnershipStructure,IsPartOfGroup,Индикира дали задълженото лице е част от група или не,SAFmiddle1textType,,Mandatory,N/A,"Възможна е една от следните стойности:
1 -  Централа на местна група
2 -  Централа на мултинационална група
3 - Част от местна група
4 - Част от мултинационална група
5 - Не",N/A,"При попълване на стойност ""3"" или ""4""  елементи от S.O.8 до S.O.11 са задължителни за подаване.
Крайното предприятие майка на групата се определя съгласно приложимите от лицето подаващо файла счетоводни стандарти."
,S.O.2,,,BeneficialOwnerNameCyrillicBG,Имена на действителния собственик на кирилица - българско физическо лице,SAFmiddle2textType,,Optional,N/A,N/A,N/A,"Действителният собственик на компанията се определя съгласно Закона за мерките срещу изпирането на пари. Ако действителният собственик е повече от един, се подават данни за всички действителни собственици.
Когато действителният собственик е един - българско или чуждестранно физическо лице, информацията се подава алтернативно или за българското лице, или за чуждестранното - като в случаите, когато информацията се отнася за български гражданин в елементите за чуждестранно лице се подава ""00"", когато информацията е чуждестранен гражданин в елементите за българско лице се подава ""00"". Аналогично се подават данни когато действителните собственици са повече от един, съответно само български или само чуждестранни физически лица, като се подават данни за всяко едно от тях. 
Когато действителни собственици са български и чуждестранни физически лица в съответните елементи се подават данни за всяко едно от тях.
"
,S.O.3,,,BeneficialOwnerEGN,ЕГН на действителният собственик (българско физическо лице) ,SAFmiddle1textType,,Optional,N/A,N/A,N/A,
,S.O.4,,,BeneficialOwnerNameLatinForeign,Имена на действителния собственик на латиница - чуждестранно физическо лице,SAFmiddle2textType,,Optional,N/A,N/A,N/A,
,S.O.5,,,BeneficialCountryForeign,Гражданство на действителния собственик - чуждестранно физическо лице по Код ISO,ISOCountryCode,,Optional,N/A,Валидира се съгласно ISO3166-2-CountryCodes,N/A,
,S.O.6,,,BeneficialCountryForeignCode,Държава на пребиваване на действителния собственик - чуждестранно физическо лице по Код ISO,ISOCountryCode,,Optional,N/A,Валидира се съгласно ISO3166-2-CountryCodes,N/A,
,S.O.7,,,UltimateOwnerNameCyrillicBG,"Наименование на крайно предприятие майка на ГП (кирилица), в случай на регистрирано в България юридическо лице",SAFmiddle2textType,,Mandatory,N/A,N/A,N/A,"Елементите са задължителни за попълване при попълнени стойности ""3"" и ""4"" в  елемент от S.O.1. 
При попълнени стойности ""1"", ""2"" и ""5"" в  елемент от S.O.1., съответно в елементи от S.O.8 до S.O.11 се подава стойност ""00"" (две нули). 
Крайното предприятие майка се определя съгласно приложимите от лицето подаващо файла счетоводни стандарти. Ако крайното предприятие е повече от едно, се подават данни за всички крайни предприятия.
Когато крайното предприятие майка е едно - българско или чуждестранно предприятие, информацията се подава алтернативно или за българското предприятие, или за чуждестранното - като в случаите, когато информацията се отнася за българско предприятие в елементите за чуждестранно се подава ""00"", когато информацията е чуждестранно в елементите за българското се подава ""00"". Аналогично се подават данни когато крайните предприятия са повече от едно, съответно само за българаско или само за чуждестранно предприятие, като се подават данни за всяко едно от тях. 
Когато крайните предприятия майки са  и български и чуждестранни - в съответните елементи се подават данни за всяко едно от тях."
,S.O.8,,,UltimateOwnerUICBG,"ЕИК на крайно предприятие майка на ГП, в случай на регистрирано в България юридическо лице",SAFmiddle1textType,,Mandatory,N/A,N/A,N/A,
,S.O.9,,,UltimateOwnerNameCyrillicForeign,Наименование на крайно предприятие майка на ГП - чуждестранно предприятие (кирилица) ,SAFmiddle2textType,,Mandatory,N/A,N/A,N/A,
,S.O.10,,,UltimateOwnerNameLatinForeign,Наименование на крайно предприятие майка на ГП - чуждестранно предприятие (латиница),SAFmiddle2textType,,Mandatory,N/A,N/A,N/A,
,S.O.11,,,CountryForeign,Държава на регистрация на крайно предприятие майка на ГП по Код ISO,ISOCountryCode,,Mandatory,N/A,Валидира се съгласно ISO3166-2-CountryCodes,N/A,
