,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,ИД Но.,Секция,Подсекция,Елемент,Описание,Тип,Източник на получаване на данните,Режим на докладване (задължителен или незадължителен) за секции/подсекции/структури и елементи,Синтактични валидационни правила,Семантични валидационни правила,Стойност по подразбиране,Бележки,Модел на подаване,,
,MF.P.13,,Tax,TaxType,TaxType - референция към предоставената таблица,SAFcodeType,,Mandatory,Валидиране въз основа на представената таблица на НАП  - TAX_IMP,N/A,N/A,Попълването на това поле става със съответния код съгласно номенклатурата TAX-IMP,x,x,N/A
,MF.P.14,,,TaxCode,TaxCode - референция към предоставената таблица,SAFcodeType,ERP,Mandatory,Валидиране въз основа на представената таблица на НАП - TAX_IMP,N/A,N/A,Попълването на това поле става със съответния код съгласно номенклатурата TAX-IMP,x,x,N/A
,,,2.10 PhysicalStock,,,,,Mandatory - Тази секция се подава при ПОИСКВАНЕ ОТ ОРГАН ПО ПРИХОДИТЕ,,,,,N/A,x,N/A
,MF.PS.1,,,PhysicalStockEntry,,PhysicalStockEntry,,Mandatory,N/A,N/A,N/A,,N/A,x,N/A
,MF.PS.2,,PhysicalStockEntry,WarehouseID,"Складът, в който се съхраняват стоките, следва да се включат складови или производствени помещения и площадки с незавършено производство, както и превозни средства или други, които съдържат стоки на път",SAFmiddle1textType,Warehouse information,Mandatory,N/A,N/A,N/A,"Подова се информация за локацията на всеки продукт (склад, производствено помещение, транспортно средство при стоки на път и др.).",N/A,x,N/A
,MF.PS.3,,,LocationID,Локация на стоките в склада,SAFmiddle1textType,N/A,Optional,N/A,N/A,N/A,,N/A,x,N/A
,MF.PS.4,,,ProductCode,Код на продукт,SAFmiddle2textType,Warehouse information,Mandatory,N/A,N/A,N/A,Подава кода от системата на лицето.,N/A,x,N/A
,MF.PS.5,,,StockAccountNo,"Партида или сериен номер. Не се използва, когато има само 1 физически запис на склад за код на продукт",SAFmiddle2textType,N/A,Optional,N/A,N/A,N/A,,N/A,x,N/A
,MF.PS.6,,,ProductType,Oпределя вида на продукта/материалния запас ,SAFshorttextType,Warehouse information,Mandatory,N/A,N/A,N/A,Въвежда се вида на материалния запас съгласно номенклатурата за МЗ - Nom_Inventory_Types ,N/A,x,N/A
,MF.PS.7,,,ProductStatus,"За да се определи дали  продукта е извън експлоатация, повредена, остаряла, активна и т.н.",SAFmiddle1textType, ,Optional,N/A,N/A,N/A,,N/A,x,N/A
,MF.PS.8,,,StockAccountCommodityCode,Код от комбинираната номенклатура (съгласно таблицата NC8_TARIC).,SAFmiddle1textType,,Mandatory,N/A,N/A,N/A,Номенклатурен код (от комбинираната тарифна и статистическа номенклатура),N/A,x,N/A
,MF.PS.9,,,OwnerID,"Уникален номер за идентифициране на икономическия оператор, издаден от държавната администрация

Уникален код на клиент/доставчик, състоящ се от: тип (двуцифрен код), последван от уникалния код на клиента/доставчика, както следва:
1. 10, следван от ЕИК - където типът е 10, а ЕИК е уникалният идентификационен код за икономическите оператори, регистрирани в България.
2. 11, следван от кода на държавата (съгласно ISO 3166-1 - 2 букви) и уникалния идентификационен код по ДДС на съответната държава членка - за икономическите оператори от държавите членки на ЕС, с изключение на България, проверяеми чрез системата VIES (Система за обмен на информация за ДДС) - Пример: 11EL123456789 или 11HU12345678
3. 12, следван от кода на държавата (съгласно ISO 3166-1 - 2 букви) и уникалния идентификационен код по ДДС (или друг код от официален регистър) на съответната държава, която не е нито България, нито държава-членка на ЕС - за икономически оператори от други държави, различни от България или членки на ЕС - Пример: 12TK123005284, когато такъв регистрационен номер е наличен.
4. 13, последвано от ЕГН за физически лица/български граждани или 13, последвано от уникален персонален код за физически лица, пребиваващи в България.
5. 14, следван от кода на държавата (съгласно ISO 3166-1 - 2 букви), следван от уникален код на икономическия оператор, присъединен от задълженото лице (обикновено генериран от информационна система). 
6. 15, следван от уникален код на икономическия оператор, присъединен от задълженото лице (обикновено генериран от информационна система).
7. 16, последван от предоставен от НАП служебен номер (започващ с 307...).
",SAFmiddle1textType, ,Mandatory,N/A,N/A,N/A,"В тази подсекция се попълва ЕИК или служебен номер на НАП на лицето подаващо файла. В случай, че МЗ е собственост на трето лице се попълва идентификатора на собственика му.",N/A,x,N/A
,MF.PS.10,,,UOMPhysicalStock,Мерна единица за тази PhysicalStock позиция,SAFcodeType,Warehouse information,Mandatory,Не е необходимо ако UOMPhysicalStock = UOMBase (основната мерна единица използвана в системите на данъкоплатеца),N/A,N/A,Попълва се съгласно кодовете в номенклатурата на мерните единици - Unit_Of_Measure,N/A,x,N/A
,MF.PS.11,,,UOMToUOMBaseConversionFactor,Коефициент на преобразуване между UOMStandard и UOMBase,Decimal, ,Mandatory,Десетично число,N/A,N/A,UOMToUOMBaseConversionFactor е коефициентът на преобразуване на стандартната мерна единица в базовата единица.,N/A,x,N/A
,MF.PS.12,,,UnitPriceBegin,Единична цена за тази позиция (в основна валута) в началото на периода,SAFmonetaryType,Warehouse information,Mandatory,Десетично,N/A,N/A,Десетично число с максимум 2 цифри след десетичния знак (точка). ,N/A,x,N/A
,MF.PS.12.1,,,UnitPriceEnd,Единична цена за тази позиция (в основна валута) в края на периода,SAFmonetaryType,Warehouse information,Mandatory,Десетично,N/A,N/A,Десетично число с максимум 2 цифри след десетичния знак (точка). ,N/A,x,N/A
,MF.PS.13,,,OpeningStockQuantity,Начално салдо (количествено) в UOMPhisicalStock,SAFquantityType,Warehouse information,Mandatory,N/A,N/A,N/A,,N/A,x,N/A
,MF.PS.14,,,OpeningStockValue,Начално салдо (в стойност),SAFmonetaryType,Warehouse information,Mandatory,"Десетично число, с десетична точка, максимум 2 (две) цифри след десетичната точка.
Проверка на десетично число (xs:decimal)",N/A,N/A,Десетично число с максимум 2 цифри след десетичния знак (точка). ,N/A,x,N/A
,MF.PS.15,,,ClosingStockQuantity,Крайно салдо (количествено) в UOMPhisicalStock,SAFquantityType,Warehouse information,Mandatory,N/A,N/A,N/A,,N/A,x,N/A
,MF.PS.16,,,ClosingStockValue,Крайно салдо (в стойност),SAFmonetaryType,Warehouse information,Mandatory,"Десетично число, с десетична точка, максимум 2 (две) цифри след десетичната точка.
Проверка на десетично число (xs:decimal)",N/A,N/A,Десетично число с максимум 2 цифри след десетичния знак (точка). ,N/A,x,N/A
,MF.PS.17,,,StockCharacteristics,,StockCharacteristics, ,Optional,N/A,N/A,N/A,,N/A,x,N/A
,MF.PS.18,,StockCharacteristics,StockCharacteristic,"Код на потребителски дефинируеми характеристики на стоковия запас. Например, ако се описва цвят - COLOR",SAFmiddle1textType,N/A,Optional,N/A,N/A,N/A,,N/A,x,N/A
,MF.PS.19,,,StockCharacteristicValue,"Тегло, размер на опаковката, цвят и т.н.. Например - Синьо, Червено, Зелено и т.н.",SAFmiddle1textType,N/A,Optional,N/A,N/A,N/A,N/A,N/A,x,N/A
,,,2.11 Owners,,,,,Optional - Тази подсекция НЕ Е ЗАДЪЛЖИТЕЛНА ЗА ПОДАВАНЕ,,,,,X,x,X
,MF.O.1,,,Owner,,Owner,,Mandatory,N/A,N/A,N/A,N/A,x,x,x
,MF.O.2,,Owner,CompanyStructure,Дефиниция на информационна структура за компанията / собственика.,CompanyStructure,,Mandatory,N/A,N/A,N/A,,x,x,x
,MF.O.3,,,OwnerID,"Уникален номер за идентифициране на икономическия оператор, издаден от държавната администрация

Уникален код на клиент/доставчик, състоящ се от: тип (двуцифрен код), последван от уникалния код на клиента/доставчика, както следва:
1. 10, следван от ЕИК - където типът е 10, а ЕИК е уникалният идентификационен код за икономическите оператори, регистрирани в България.
2. 11, следван от кода на държавата (съгласно ISO 3166-1 - 2 букви) и уникалния идентификационен код по ДДС на съответната държава членка - за икономическите оператори от държавите членки на ЕС, с изключение на България, проверяеми чрез системата VIES (Система за обмен на информация за ДДС) - Пример: 11EL123456789 или 11HU12345678
3. 12, следван от кода на държавата (съгласно ISO 3166-1 - 2 букви) и уникалния идентификационен код по ДДС (или друг код от официален регистър) на съответната държава, която не е нито България, нито държава-членка на ЕС - за икономически оператори от други държави, различни от България или членки на ЕС - Пример: 12TK123005284, когато такъв регистрационен номер е наличен.
4. 13, последвано от ЕГН за физически лица/български граждани или 13, последвано от уникален персонален код за физически лица, пребиваващи в България.
5. 14, следван от кода на държавата (съгласно ISO 3166-1 - 2 букви), следван от уникален код на икономическия оператор, присъединен от задълженото лице (обикновено генериран от информационна система). 
6. 15, следван от уникален код на икономическия оператор, присъединен от задълженото лице (обикновено генериран от информационна система).
7. 16, последван от предоставен от НАП служебен номер (започващ с 307...).
",SAFmiddle1textType,,Mandatory,N/A,N/A,N/A,"Когато стоките са на предприятието се посочва ЕИК на подаващия файла. Когато собствеността на стоките са на друго лице, се посочват данните на това лице. Това са случаите на извършване на работа на ишлеме (временно съхранение настоки). ",x,x,x
,MF.O.4,,,AccountID,"Код на аналитична счетоводна сметка, който трябва да съответства на предоставена Номенклатура на счетоводните сметки.",SAFAccountType,GL,Mandatory,"Сметката трябва да бъде цяло число, различно от 0","Валидиране на ниво аналитична сметка, която трябва да се попълни, съгласно предoставена Номенклатура на счетоводните сметки.",N/A,"Код на аналитична счетоводна сметка, който се използва в счетоводните записвания. Полето следва да се попълни, съгласно номенклатурата: 
- NRA Nom of Accounts",x,x,x
,,,2.12 Assets,,,,,Mandatory - Подаване веднъж годишно,,,,,N/A,N/A,x
,MF.A.1,,,Assets,,Asset,,Mandatory,N/A,N/A,N/A,"Активите се отчитат задължително веднъж годишно, а не за всеки отчетен период.

Отчитането на активите е задължително за всички лица, които имат активи.",N/A,N/A,x
,MF.A.2,,Asset,AssetID,"Уникален код на актива, присвоен от задълженото лице (системно или ръчно)",SAFmiddle1textType,Asset file (ERP or other),Mandatory,N/A,N/A,N/A,,N/A,N/A,x
,MF.A.3,,,AccountID,"Код на аналитична счетоводна сметка, който трябва да съответства на предоставената номенклатура от сметки от НАП.",SAFAccountType,GL,Mandatory,"Сметката трябва да бъде цяло число, различно от 0","Валидиране на ниво аналитична сметка, която трябва да се попълни,  съгласно предoставена Номенклатура на счетоводните сметки.",N/A,"Код на аналитична счетоводна сметка. Полето следва да се попълни, съгласно номенклатурата: 
- NRA Nom of Accounts",N/A,N/A,x
,MF.A.4,,,Description,Описание на актива,SAFlongtextType,Asset file,Mandatory,N/A,N/A,N/A,,N/A,N/A,x
,MF.A.5,,,AssetSupplier,Доставчик на актива (вкл. исторически данни),AssetSupplier, ,Mandatory,N/A,N/A,N/A,"Посочват се данни от фактура, договор, поръчка за покупка, протокол за въвеждане в експлоатация. За активи, изградени/създадени от задълженото лице се попълва наименованието на задълженото лице.
За активи с повече от един доставчик в структурата AssetSupplier се подават данни за всички доставчици на актива.
За активи, които са налични към датата на възникване на задължението за подаване на SAF-T файл, и за които в счетоводната система на данъкоплатеца няма информация за доставчик, се подават данните на задълженото лице.",N/A,N/A,x
,MF.A.6,,,PurchaseOrderDate,Дата на поръчка за покупка на актива,Date, ,Optional,Валидация съгласно ISO 8601,N/A,N/A,"Датата и часът се попълват в отчетния файл SAF-T, като се използва стандартът ISO 8601, който определя следния формат ГГГГ-ММ-ДД

Пример за приет формат за дата: 2020-10-03, 2021-04-12",N/A,N/A,x
,MF.A.7,,,DateOfAquisition,Дата на придобиване,Date,Asset file,Mandatory,Валидация съгласно ISO 8601,N/A,N/A,"Датата и часът се попълват в отчетния файл SAF-T, като се използва стандартът ISO 8601, който определя следния формат ГГГГ-ММ-ДД

Пример за приет формат за дата: 2020-10-03, 2021-04-12",N/A,N/A,x
,MF.A.8,,,StartUpDate,Дата на въвеждане в експлоатация,Date,Asset file,Mandatory,Валидация съгласно ISO 8601,N/A,N/A,"Датата и часът се попълват в отчетния файл SAF-T, като се използва стандартът ISO 8601, който определя следния формат ГГГГ-ММ-ДД

Пример за приет формат за дата: 2020-10-03, 2021-04-12",N/A,N/A,x
,MF.A.9,,,Valuations,"Данни 					за счетоводния амортизационен
												план и за данъчния амортизационен план",Valuations,Asset file,Mandatory,N/A,N/A,N/A,,N/A,N/A,x
,MF.A.10,,AssetSupplier,SupplierName,Име на доставчик,SAFmiddle2textType,"Invoice, contract",Mandatory,N/A,,N/A,,N/A,N/A,x
,MF.A.11,,,SupplierID,"Уникален номер за идентифициране на икономическия оператор, издаден от държавната администрация

Уникален код на клиент/доставчик, състоящ се от: тип (двуцифрен код), последван от уникалния код на клиента/доставчика, както следва:
1. 10, следван от ЕИК - където типът е 10, а ЕИК е уникалният идентификационен код за икономическите оператори, регистрирани в България.
2. 11, следван от кода на държавата (съгласно ISO 3166-1 - 2 букви) и уникалния идентификационен код по ДДС на съответната държава членка - за икономическите оператори от държавите членки на ЕС, с изключение на България, проверяеми чрез системата VIES (Система за обмен на информация за ДДС) - Пример: 11EL123456789 или 11HU12345678
3. 12, следван от кода на държавата (съгласно ISO 3166-1 - 2 букви) и уникалния идентификационен код по ДДС (или друг код от официален регистър) на съответната държава, която не е нито България, нито държава-членка на ЕС - за икономически оператори от други държави, различни от България или членки на ЕС - Пример: 12TK123005284, когато такъв регистрационен номер е наличен.
4. 13, последвано от ЕГН за физически лица/български граждани или 13, последвано от уникален персонален код за физически лица, пребиваващи в България.
5. 14, следван от кода на държавата (съгласно ISO 3166-1 - 2 букви), следван от уникален код на икономическия оператор, присъединен от задълженото лице (обикновено генериран от информационна система). 
6. 15, следван от уникален код на икономическия оператор, присъединен от задълженото лице (обикновено генериран от информационна система).
7. 16, последван от предоставен от НАП служебен номер (започващ с 307...).",SAFmiddle1textType,ERP,Mandatory,N/A,,N/A,"Посочват се данни от фактура, договор, поръчка за покупка, протокол за въвеждане в експлоатация. За активи, изградени/създадени от задълженото лице се попълва наименованието на задълженото лице.
За активи с повече от един доставчик в структурата AssetSupplier се подават данни за всички доставчици на актива. За активи, които са налични към датата на възникване на задължението за подаване на SAF-T файл, и за които в счетоводната система на данъкоплатеца няма информация за доставчик, се подават данните на задълженото лице.",N/A,N/A,x
,MF.A.12,,,PostalAddress,Адресна информация за доставчика,AddressStructure,"Invoice, contract",Mandatory,N/A,N/A,N/A,,N/A,N/A,x
,MF.A.13,,Valuations,Valuation,,Valuation,,Mandatory,N/A,N/A,N/A,,N/A,N/A,x
,MF.A.14,,,,,ValuationDAP,,,,,,,,,
,MF.A.15,,ValuationSAP,ValuationClass,Класификация на актива за целите на счетоводното.,SAFmiddle1textType,Asset file,Mandatory,N/A,N/A,N/A,,N/A,N/A,x
,MF.A.16,,,AcquisitionAndProductionCostsBegin,Общо начално салдо разходи за придобиване (вкл. по стопански начин) на актива (в основна валута),SAFmonetaryType,Asset file,Mandatory,"Десетично число с разделител - десетична точка, максимум 2 (две) цифри след десетичната точка.Числото може да бъде положително или отрицателно. Отрицателните суми се предхождат със знак минус (""-"")",N/A,N/A,"Десетично число с максимум 2 цифри след десетичния знак (точка). 
Тук следва да се посочи историческата цена при придобиване. Това е и началното салдо при случаи на капитализиране.",N/A,N/A,x
,MF.A.17,,,AcquisitionAndProductionCostsEnd,Общо крайно салдо разходи за придобиване (вкл. по стопански начин) на актива (в основна валута),SAFmonetaryType,Asset file,Mandatory,"Десетично число с разделител - десетична точка, максимум 2 (две) цифри след десетичната точка.Числото може да бъде положително или отрицателно. Отрицателните суми се предхождат със знак минус (""-"")",N/A,N/A,"Десетично число с максимум 2 цифри след десетичния знак (точка). 
Тук следва да се посочи брутната сума на актива. Ако е имало допълнителни разходи за подобрения и модернизация следва да бъдат добавени, съответно при частично отписване на част от актива (дефектирала части или др.) да бъде намалена стойността с тази част.",N/A,N/A,x
,MF.A.18,,,InvestmentSupport,Капиталови разходи за актива за периода (в основна валута),SAFmonetaryType,Asset file,Mandatory,"Десетично число с разделител - десетична точка, максимум 2 (две) цифри след десетичната точка.Числото може да бъде положително или отрицателно. Отрицателните суми се предхождат със знак минус (""-"")",N/A,N/A,"Десетично число с максимум 2 цифри след десетичния знак (точка). 
Тук следва да се посочи сумата на полученото финансиране за придобиване на актива (прилагане на МСС 20/НСС 20 - при преобразуване на фин. резултат за данъчни цели се посочва само сумата, която е собствено финансиране). ",N/A,N/A,x
,MF.A.19,,,AssetLifeYear,Полезен живот в години,Decimal,Asset file,Mandatory,Цяло десетично число,"Ако животът на актива се измерва в години, използвайте AssetLifeYear и не попълвайте AssetLifeMonth.
",N/A,"Ако животът на актива се измерва в години, използвайте AssetLifeYear и не попълвайте AssetLifeMonth.
",N/A,N/A,x
,MF.A.20,,,AssetLifeMonth,Полезен живот в месеци,Decimal,Asset file,Mandatory,Цяло десетично число,"Ако животът на актива се измерва в месеци, използвайте AssetLifeMonth и не попълвайте AssetLifeYear.
",N/A,"Ако животът на актива се измерва в месеци, използвайте AssetLifeMonth и не попълвайте AssetLifeYear.
",N/A,N/A,x
,MF.A.21,,,AssetAddition,Балансова стойност на актива (в основна валута),SAFmonetaryType,Asset file,Mandatory,"Десетично число с разделител - десетична точка, максимум 2 (две) цифри след десетичната точка.Числото може да бъде положително или отрицателно. Отрицателните суми се предхождат със знак минус (""-"")",N/A,N/A,"Десетично число с максимум 2 цифри след десетичния знак (точка). 
Тук се посочва стойността на актива след извършените увеличения или намаления на стойността му.",N/A,N/A,x
,MF.A.22,,,Transfers,Стойност за прехвърляния/отчисления от стойността на актива за периода,SAFmonetaryType,Asset file,Mandatory,"Десетично число с разделител - десетична точка, максимум 2 (две) цифри след десетичната точка.Числото може да бъде положително или отрицателно. Отрицателните суми се предхождат със знак минус (""-"")",N/A,N/A,"Десетично число с максимум 2 цифри след десетичния знак (точка). 
Тук се посочва стойност при прехвърляне на актива от една категория в друга (например от офис в инвестиционен имот - инвестиционния имот не подлежи на амортизация).",N/A,N/A,x
,MF.A.23,,,AssetDisposal,Балансова стойност при изписване на актива (в основна валута),SAFmonetaryType,Asset file,Mandatory,"Десетично число с разделител - десетична точка, максимум 2 (две) цифри след десетичната точка.Числото може да бъде положително или отрицателно. Отрицателните суми се предхождат със знак минус (""-"")",N/A,N/A,"Десетично число с максимум 2 цифри след десетичния знак (точка). 
Тук се посочва сумата на отписаната част на актива (при дефектирала части или др.).",N/A,N/A,x
,MF.A.24,,,BookValueBegin,Балансова стойност в началото на периода,SAFmonetaryType,Asset file,Mandatory,"Десетично число с разделител - десетична точка, максимум 2 (две) цифри след десетичната точка.Числото може да бъде положително или отрицателно. Отрицателните суми се предхождат със знак минус (""-"")",N/A,N/A,"Десетично число с максимум 2 цифри след десетичния знак (точка). 
Тук се посочва се балансовата стойност в началото на периода след извършените увеличения и намаления на стойността на актива, без начислената амортизация.",N/A,N/A,x
,MF.A.25,,,DepreciationMethod,Метод на амортизация,SAFmiddle1textType,Asset file,Mandatory,N/A,N/A,N/A,,N/A,N/A,x
,MF.A.26,,,DepreciationPercentage,Амортизационна норма (месечна или годишна в зависимост от посочения полезен живот по-горе - в месеци или години),Decimal,Asset file,Mandatory,Цяло десетично число,N/A,N/A,,N/A,N/A,x
,MF.A.27,,,DepreciationForPeriod,Обща сума на амортизацията за периода (в основна валута),SAFmonetaryType,Asset file,Mandatory,"Десетично число с разделител - десетична точка, максимум 2 (две) цифри след десетичната точка.Числото може да бъде положително или отрицателно. Отрицателните суми се предхождат със знак минус (""-"")",N/A,N/A,"Десетично число с максимум 2 цифри след десетичния знак (точка). 
Тук се посочва само текущо начислената амортизация за периода (отразеното по с/ка 603). ",N/A,N/A,x
,MF.A.28,,,AppreciationForPeriod,Обща сума на увеличения за периода (в основна валута),SAFmonetaryType,Asset file,Mandatory,"Десетично число с разделител - десетична точка, максимум 2 (две) цифри след десетичната точка.Числото може да бъде положително или отрицателно. Отрицателните суми се предхождат със знак минус (""-"")",N/A,N/A,Десетично число с максимум 2 цифри след десетичния знак (точка). ,N/A,N/A,x
,MF.A.29,,,ExtraordinaryDepreciationsForPeriod,Сума на извънредно начислена амортизация за периода (в основна валута),ExtraordinaryDepreciationsForPeriod,Asset file,Mandatory,N/A,N/A,N/A,"Съгласно приложимите счетоводни стандарти, напр. при промени в отчитането на амортизациите, съгласно т. 6.5 от СС4",N/A,N/A,x
,MF.A.30,,,AccumulatedDepreciation,Обща сума на натрупаната амортизация за актива (в основна валута),SAFmonetaryType,Asset file,Mandatory,"Десетично число с разделител - десетична точка, максимум 2 (две) цифри след десетичната точка.Числото може да бъде положително или отрицателно. Отрицателните суми се предхождат със знак минус (""-"")",N/A,N/A,Десетично число с максимум 2 цифри след десетичния знак (точка). ,N/A,N/A,x
,MF.A.31,,,BookValueEnd,Балансова стойност на актив в края на периода (в основна валута),SAFmonetaryType,Asset file,Mandatory,"Десетично число с разделител - десетична точка, максимум 2 (две) цифри след десетичната точка.Числото може да бъде положително или отрицателно. Отрицателните суми се предхождат със знак минус (""-"")",N/A,N/A,Десетично число с максимум 2 цифри след десетичния знак (точка). ,N/A,N/A,x
,MF.A.32,,,ExtraordinaryDepreciationForPeriod,,ExtraordinaryDepreciationForPeriod,,Mandatory,N/A,N/A,N/A,,N/A,N/A,x
,MF.A.33,,,ExtraordinaryDepreciationMethod,Метод на извънредна амортизация за периода,SAFmiddle1textType,Asset file,Mandatory,N/A,N/A,N/A,,N/A,N/A,x
,MF.A.34,,,ExtraordinaryDepreciationAmountForPeriod,Сума на извънредно начислена амортизация за периода (в основна валута),SAFmonetaryType,Asset file,Mandatory,"Десетично число с разделител - десетична точка, максимум 2 (две) цифри след десетичната точка.Числото може да бъде положително или отрицателно. Отрицателните суми се предхождат със знак минус (""-"")",N/A,N/A,"Десетично число с максимум 2 цифри след десетичния знак (точка). 
Извънредно начислена амортизация. При случаи на промени в отчитането на амортизациите (СС 4, т.6.5).",N/A,N/A,x
,MF.A.35,,ValuationDAP,ValuationClass,Класификация на актива за целите на данъчното отчитане.,SAFmiddle1textType,Asset file,Mandatory,N/A,N/A,N/A,Посочва се класификацията на актива - Материални; Нематериални; Финансови.,N/A,N/A,x
,MF.A.36,,,CategoryTaxDepreciable,Категория на данъчен амортизируем актив.,SAFmiddle1textType,Asset file,Mandatory,N/A,N/A,N/A,Посочва се категорията на актива определяща годишната данъчнна амортизационна норма.,N/A,N/A,x
,MF.A.37,,,TaxDepreciableValue,Данъчна амортизируема стойност на актива (в основна валута).,SAFmonetaryType,Asset file,Mandatory,"Десетично число с разделител - десетична точка, максимум 2 (две) цифри след десетичната точка. Числото може да бъде положително или отрицателно. Отрицателните суми се предхождат със знак минус (""-"")",N/A,N/A,Десетично число с максимум 2 цифри след десетичния знак (точка). ,N/A,N/A,x
,MF.A.38,,,AccruedTaxDepreciation,Начислена данъчна амортизация за актива до 01.01 (в основна валута).,SAFmonetaryType,Asset file,Mandatory,"Десетично число с разделител - десетична точка, максимум 2 (две) цифри след десетичната точка. Числото може да бъде положително или отрицателно. Отрицателните суми се предхождат със знак минус (""-"")",N/A,N/A,Десетично число с максимум 2 цифри след десетичния знак (точка). ,N/A,N/A,x
,MF.A.39,,,TaxValueAsset,Данъчна стойност на актива към 01.01 (в основна валута)., SAFmonetaryType,Asset file,Mandatory,"Десетично число с разделител - десетична точка, максимум 2 (две) цифри след десетичната точка. Числото може да бъде положително или отрицателно. Отрицателните суми се предхождат със знак минус (""-"")",N/A,N/A,Десетично число с максимум 2 цифри след десетичния знак (точка). ,N/A,N/A,x
,MF.A.40,,,AnnualTaxDepreciationRate,Годишна данъчна амортизационна норма на актива в %.,Decimal,Asset file,Mandatory,Десетично число,N/A,N/A,Посочва се годишната амортизационна норма в проценти.,N/A,N/A,x
,MF.A.41,,,MonthChangeAssetValue,"Месец на промяна в стойността на актива и обстоятелствата, налагащи промените.",SAFmiddle1textType,Asset file,Mandatory,Цяло десетично число и текст,N/A,N/A,Цяло десетично число,N/A,N/A,x
,MF.A.42,,,MonthSuspension/ResumptionAccrual,"Месец на преустановяване и възобновяване на начисляването на данъчни амортизации и обстоятелствата, които го налагат.",SAFmiddle1textType,Asset file,Mandatory,Цяло десетично число и текст,N/A,N/A,Цяло десетично число,N/A,N/A,x
,MF.A.43,,,MonthWriteOffAccounting,"Месец на отписване на актива за счетоводни цели и обстоятелствата, които го налагат.",SAFmiddle1textType,Asset file,Mandatory,Цяло десетично число и текст,N/A,N/A,Цяло десетично число,N/A,N/A,x
,MF.A.44,,,MonthWriteOffTax,Месец на отписване на актива от данъчния амортизационен план.,SAFmiddle1textType,Asset file,Mandatory,Цяло десетично число и текст,N/A,N/A,Цяло десетично число,N/A,N/A,x
,MF.A.45,,,NumberMonthsDepreciationDuring,Брой месеци за амортизация на актива през периода.,SAFshorttextType,Asset file,Mandatory,Цяло десетично число и текст,N/A,N/A,Цяло десетично число,N/A,N/A,x
,MF.A.46,,,DepreciationForPeriod,Годишна данъчна амортизация на актива за периода (в основна валута).,SAFmonetaryType,Asset file,Mandatory,"Десетично число с разделител - десетична точка, максимум 2 (две) цифри след десетичната точка.Числото може да бъде положително или отрицателно. Отрицателните суми се предхождат със знак минус (""-"")",N/A,N/A,Десетично число с максимум 2 цифри след десетичния знак (точка). ,N/A,N/A,x
,MF.A.47,,,AccumulatedDepreciation,Общa данъчна амортизация на актива от въвеждането му в екплоатация (в основна валута).,SAFmonetaryType,Asset file,Mandatory,"Десетично число с разделител - десетична точка, максимум 2 (две) цифри след десетичната точка.Числото може да бъде положително или отрицателно. Отрицателните суми се предхождат със знак минус (""-"")",N/A,N/A,Десетично число с максимум 2 цифри след десетичния знак (точка). ,N/A,N/A,x
,MF.A.48,,,TaxValueEndPeriod,Данъчна стойност на актива към края на периода - 31.12 (в основна валута).,"
SAFmonetaryType",Asset file,Mandatory,"Десетично число с разделител - десетична точка, максимум 2 (две) цифри след десетичната точка.Числото може да бъде положително или отрицателно. Отрицателните суми се предхождат със знак минус (""-"")",N/A,N/A,Десетично число с максимум 2 цифри след десетичния знак (точка). ,N/A,N/A,x
