,,
,,
НОМЕНКЛАТУРА НА МЕРНИТЕ ЕДИНИЦИ,,
,,
,,
Код,Наименование (ENG),Наименование (BG)
G53,cubic metre per minute,кубичен метър за минута
G54,millilitre per day,милилитър за ден
G55,millilitre per hour,милилитър за час
G56,cubic inch per hour,кубичен инч за час
G57,cubic inch per minute,кубичен инч за минута
G58,cubic inch per second,кубичен инч за секунда
G59,milliampere per litre minute,милиампер на литър минута
G60,volt per bar,волт на бар
G61,cubic centimetre per day kelvin,кубичен сантиметър на ден келвин
G62,cubic centimetre per hour kelvin,кубичен сантиметър на час келвин
G63,cubic centimetre per minute kelvin,кубичен сантиметър на минута келвин
G64,cubic centimetre per second kelvin,кубичен сантиметър на секунда келвин
G65,litre per day kelvin,литър на ден келвин
G66,litre per hour kelvin,литър на час келвин
G67,litre per minute kelvin,литър на минута келвин
G68,litre per second kelvin,литър на секунда келвин
G69,cubic metre per day kelvin,кубичен метър на ден келвин
G70,cubic metre per hour kelvin,кубичен метър на час келвин
G71,cubic metre per minute kelvin,кубичен метър на минута келвин
G72,cubic metre per second kelvin,кубичен метър на секунда келвин
G73,millilitre per day kelvin,милилитър на ден келвин
G74,millilitre per hour kelvin,милилитър на час келвин
G75,millilitre per minute kelvin,милилитър на минута келвин
G76,millilitre per second kelvin,милилитър на секунда келвин
G77,millimetre to the fourth power,милиметър на четвърта степен
G78,cubic centimetre per day bar,кубичен сантиметър на ден бар
G79,cubic centimetre per hour bar,кубичен сантиметър на час бар
G80,cubic centimetre per minute bar,кубичен сантиметър на минута бар
G81,cubic centimetre per second bar,кубичен сантиметър на секунда бар
G82,litre per day bar,литър на ден бар
G83,litre per hour bar,литър на час бар
G84,litre per minute bar,литър на минута бар
G85,litre per second bar,литър на секунда бар
G86,cubic metre per day bar,кубичен метър на ден бар
G87,cubic metre per hour bar,кубичен метър на час бар
G88,cubic metre per minute bar,кубичен метър на минута бар
G89,cubic metre per second bar,кубичен метър на секунда бар
G90,millilitre per day bar,милилитър на ден бар
G91,millilitre per hour bar,милилитър на час бар
G92,millilitre per minute bar,милилитър на минута бар
G93,millilitre per second bar,милилитър на секунда бар
G94,cubic centimetre per bar,кубичен сантиметър на бар
G95,litre per bar,литър на бар
G96,cubic metre per bar,кубичен метър за бар
G97,millilitre per bar,милилитър на бар
G98,microhenry per kiloohm,микрохенри на килоом
G99,microhenry per ohm,микрохенри на ом
GB,gallon (US) per day,галон (САЩ) на ден
GBQ,gigabecquerel,гигабекерел
GDW,"gram, dry weight","грам, сухо тегло"
GE,pound per gallon (US),фунт за галон (САЩ)
GF,gram per metre (gram per 100 centimetres),грам на метър (грам на 100 сантиметра)
GFI,gram of fissile isotope,грам делящ се изотоп
GGR,great gross,голяма гроса
GIA,gill (US),джил (САЩ)
GIC,"gram, including container","грам, заедно с контейнера"
GII,gill (UK),джил (Великобритания)
GIP,"gram, including inner packaging","грам, заедно с вътрешната опаковка"
GJ,gram per millilitre,грам на милилитър
GL,gram per litre,грам на литър
GLD,dry gallon (US),сух галон (САЩ)
GLI,gallon (UK),галон (Великобритания)
GLL,gallon (US),галон (САЩ)
GM,gram per square metre,грам на квадратен метър
GO,milligram per square metre,милиграм на квадратен метър
GP,milligram per cubic metre,милиграм на кубичен метър
GQ,microgram per cubic metre,микрограм на кубичен метър
GRM,gram,грам
GRN,grain,грайн
GRO,gross,гроса
GV,gigajoule,гигаджаул
GWH,gigawatt hour,гигаватчас
H03,henry per kiloohm,хенри за килоом
H04,henry per ohm,хенри на ом
H05,millihenry per kiloohm,милихенри на килоом
H06,millihenry per ohm,милихенри на ом
H07,pascal second per bar,паскал секунда на бар
H08,microbecquerel,микробекерел
H12,degree Celsius per hour,градус Целзий в час
H13,degree Celsius per minute,градус Целзий в минута
H14,degree Celsius per second,градус Целзий в секунда
H15,square centimetre per gram,квадратен сантиметър на грам
H16,square decametre,квадратен декаметър
H18,square hectometre,квадратен хектометър
H19,cubic hectometre,кубичен хектометър
H20,cubic kilometre,кубичен километър
H21,blank,празен
H22,volt square inch per pound-force,волт квадратен инч за фунт-сила
H23,volt per inch,волт на инч
H24,volt per microsecond,волт за микросекунда
H25,percent per kelvin,процент за келвин
H26,ohm per metre,ом на метър
H27,degree per metre,градус на метър
H28,microfarad per kilometre,микрофарад на километър
H29,microgram per litre,микрограм на литър
H30,square micrometre (square micron),квадратен микрометър (квадратен микрон)
H31,ampere per kilogram,ампер на килограм
H32,ampere squared second,ампер на квадрат секунда
H33,farad per kilometre,фарад на километър
H34,hertz metre,херц метър
H35,kelvin metre per watt,келвин метър за ват
H36,megaohm per kilometre,мегаом на километър
H37,megaohm per metre,мегаом на метър
H38,megaampere,мегаампер
H39,megahertz kilometre,мегахерц километър
H40,newton per ampere,нютон на ампер
H41,"newton metre watt to the power minus 0,5","нютон метър ват на степен минус 0,5"
H42,pascal per metre,паскал на метър
H43,siemens per centimetre,сименс на сантиметър
H44,teraohm,тераом
H45,volt second per metre,волт секунда на метър
H46,volt per second,волт в секунда
H47,watt per cubic metre,ват на кубичен метър
H48,attofarad,атофарад
H51,decibel per kilometre,децибел на километър
H52,decibel per metre,децибел на метър
H53,kilogram per bar,килограм за бар
H54,kilogram per cubic decimetre kelvin,килограм на кубичен дециметър келвин
H55,kilogram per cubic decimetre bar,килограм на кубичен дециметър бар
H56,kilogram per square metre second,килограм на квадратен метър секунда
H57,inch per two pi radiant,инч за 2π радиана
H58,metre per volt second,метър за волт секунда
H59,square metre per newton,квадратен метър на нютон
H60,cubic metre per cubic metre,кубичен метър на кубичен метър
H61,millisiemens per centimetre,милисименс на сантиметър
H62,millivolt per minute,миливолт в минута
H63,milligram per square centimetre,милиграм на квадратен сантиметър
H64,milligram per gram,милиграм на грам
H65,millilitre per cubic metre,милилитър на кубичен метър
H66,millimetre per year,милиметър на година
H67,millimetre per hour,милиметър в час
H68,millimole per gram,милимол на грам
H69,picopascal per kilometre,пикопаскал на километър
H70,picosecond,пикосекунда
H71,percent per month,процент на месец
H72,percent per hectobar,процент на хектобар
H73,percent per decakelvin,проценти на декакелвин
H74,watt per metre,ват на метър
H75,decapascal,декапаскал
H76,gram per millimetre,грам на милиметър
H79,French gauge,единица по Шарие
H80,rack unit,единица височина на рафт
H81,millimetre per minute,милиметър в минута
H83,litre per kilogram,литър на килограм
H84,gram millimetre,грам милиметър
H87,piece,бройка
H88,megaohm kilometre,мегаом километър
H89,percent per ohm,процент на ом
H90,percent per degree,процент на градус
H91,percent per ten thousand,процент на десет хиляди
H92,percent per one hundred thousand,процент на сто хиляди
H93,percent per hundred,процент на сто
H94,percent per thousand,процент на хиляда
H95,percent per volt,процент на волт
H96,percent per bar,проценти на бар
H98,percent per inch,процент на инч
H99,percent per metre,процент на метър
HA,hank,гранка
HBA,hectobar,хектобар
HBX,hundred boxes,сто кутии
HDW,"hundred kilogram, dry weight","сто килограма, сухо тегло"
HEA,head,глава
HGM,hectogram,хектограм
HH,hundred cubic foot,сто кубични фута
HIU,hundred international unit,сто международни единици
HKM,"hundred kilogram, net mass","сто килограма, нетна маса"
HLT,hectolitre,хектолитър
HM,mile per hour (statute mile),миля на час (статутна)
HMQ,million cubic metre,милион кубически метра
HMT,hectometre,хектометър
HPA,hectolitre of pure alcohol,хектолитър чист алкохол
HTZ,hertz,херц
HUR,hour,час
IA,inch pound (pound inch),инч фунт (фунт инч)
IE,person,човек
INH,inch,инч
INK,square inch,квадратен инч
INQ,cubic inch,кубичен инч
ISD,international sugar degree,"захарен градус, международен"
IU,inch per second,инч в секунда
IUG,international unit per gram,международна единица на грам
IV,inch per second squared,инч в секунда на квадрат
J10,percent per millimetre,процент на милиметър
J12,per mille per psi,промил за фунт-сила на квадратен инч
J13,degree API,градус API
J14,degree Baume (origin scale),градус Боме (оригинална скала)
J15,degree Baume (US heavy),"градус Боме (САЩ, за течности по-тежки от вода)"
J16,degree Baume (US light),"градус Боме (САЩ, за течности по-леки от вода)"
J17,degree Balling,градус Балинг
J18,degree Brix,градус Брикс
J19,degree Fahrenheit hour square foot per British thermal unit (thermochemical),градус Фаренхайт час квадратен фут за британска топлинна единица (термохимична)
J2,joule per kilogram,джаул на килограм
J20,degree Fahrenheit per kelvin,градус Фаренхайт за келвин
J21,degree Fahrenheit per bar,градус Фаренхайт за бар
J22,degree Fahrenheit hour square foot per British thermal unit (international table),градус Фаренхайт час квадратен фут за британска топлинна единица (международна таблица)
J23,degree Fahrenheit per hour,градус Фаренхайт на час
J24,degree Fahrenheit per minute,градус Фаренхайт в минута
J25,degree Fahrenheit per second,градус Фаренхайт в секунда
J26,reciprocal degree Fahrenheit,реципрочен градус Фаренхайт
J27,degree Oechsle,градус Оксле
J28,degree Rankine per hour,градус Ранкин на час
J29,degree Rankine per minute,градус Ранкин на минута
J30,degree Rankine per second,градус Ранкин на секунда
J31,degree Twaddell,градус Твадел
J32,micropoise,микропоаз
J33,microgram per kilogram,микрограм на килограм
J34,microgram per cubic metre kelvin,микрограм на кубичен метър келвин
J35,microgram per cubic metre bar,микрограм на кубичен метър бар
J36,microlitre per litre,микролитър на литър
J38,baud,бод
J39,British thermal unit (mean),Британска топлинна единица (средно)
J40,British thermal unit (international table) foot per hour square foot degree Fahrenheit,Британска топлинна единица (международна таблица) фут на час квадратен фут градус Фаренхайт
J41,British thermal unit (international table) inch per hour square foot degree Fahrenheit,Британска топлинна единица (международна таблица) инч на час квадратен фут градус Фаренхайт
J42,British thermal unit (international table) inch per second square foot degree Fahrenheit,Британска топлинна единица (международна таблица) инч на секунда квадратен фут градус Фаренхайт
J43,British thermal unit (international table) per pound degree Fahrenheit,Британска топлинна единица (международна таблица) на фунт градус Фаренхайт
J44,British thermal unit (international table) per minute,Британска топлинна единица (международна таблица) в минута
J45,British thermal unit (international table) per second,Британска топлинна единица (международна таблица) в секунда
J46,British thermal unit (thermochemical) foot per hour square foot degree Fahrenheit,Британска топлинна единица (термохимична) фут на час квадратен фут градус Фаренхайт
J47,British thermal unit (thermochemical) per hour,Британска топлинна единица (термохимична) в час
J48,British thermal unit (thermochemical) inch per hour square foot degree Fahrenheit,Британска топлинна единица (термохимична) инч на час квадратен фут градус Фаренхайт
J49,British thermal unit (thermochemical) inch per second square foot degree Fahrenheit,Британска топлинна единица (термохимична) инч на секунда квадратен фут градус Фаренхайт
J50,British thermal unit (thermochemical) per pound degree Fahrenheit,Британска топлинна единица (термохимична) на фунт градус Фаренхайт
J51,British thermal unit (thermochemical) per minute,Британска топлинна единица (термохимична) в минута
J52,British thermal unit (thermochemical) per second,Британска топлинна единица (термохимична) в секунда
J53,coulomb square metre per kilogram,кулон квадратен метър за килограм
J54,megabaud,мегабод
J55,watt second,ватсекунда
J56,bar per bar,бар на бар
J57,barrel (UK petroleum),"барел (Великобритания, нефтен)"
J58,barrel (UK petroleum) per minute,"барел (Великобритания, нефтен) в минута"
J59,barrel (UK petroleum) per day,"барел (Великобритания, нефтен) на ден"
J60,barrel (UK petroleum) per hour,"барел (Великобритания, нефтен) на час"
J61,barrel (UK petroleum) per second,"барел (Великобритания, нефтен) в секунда"
J62,barrel (US petroleum) per hour,"барел (САЩ, нефтен) на час"
J63,barrel (US petroleum) per second,"барел (САЩ, нефтен) в секунда"
J64,bushel (UK) per day,бушел (Великобритания) на ден
J65,bushel (UK) per hour,бушел (Великобритания) на час
J66,bushel (UK) per minute,бушел (Великобритания) в минута
J67,bushel (UK) per second,бушел (Великобритания) в секунда
J68,bushel (US dry) per day,"бушел (САЩ, сух) на ден"
J69,bushel (US dry) per hour,"бушел (САЩ, сух) в час"
J70,bushel (US dry) per minute,"бушел (САЩ, сух) в минута"
J71,bushel (US dry) per second,"бушел (САЩ, сух) в секунда"
J72,centinewton metre,сантинютон метър
J73,centipoise per kelvin,сантипоаз на келвин
J74,centipoise per bar,сантипоаз на бар
J75,calorie (mean),калория (средна)
J76,calorie (international table) per gram degree Celsius,калория (международна таблица) за грам градус Целзий
J78,calorie (thermochemical) per centimetre second degree Celsius,калория (термохимична) на сантиметър секунда градус Целзий
J79,calorie (thermochemical) per gram degree Celsius,калория (термохимична) за грам градус Целзий
J81,calorie (thermochemical) per minute,калория (термохимична) за минута
J82,calorie (thermochemical) per second,калория (термохимична) за секунда
J83,clo,кло
J84,centimetre per second kelvin,сантиметър на секунда келвин
J85,centimetre per second bar,сантиметър на секунда бар
J87,cubic centimetre per cubic metre,кубичен сантиметър на кубичен метър
J90,cubic decimetre per day,кубичен дециметър на ден
J91,cubic decimetre per cubic metre,кубичен дециметър за кубичен метър
J92,cubic decimetre per minute,кубичен дециметър в минута
J93,cubic decimetre per second,кубичен дециметър в секунда
J95,ounce (UK fluid) per day,"унция (Великобритания, течна) на ден"
J96,ounce (UK fluid) per hour,"унция (Великобритания, течна) в час"
J97,ounce (UK fluid) per minute,"унция (Великобритания, течна) в минута"
J98,ounce (UK fluid) per second,"унция (Великобритания, течна) в секунда"
J99,ounce (US fluid) per day,"унция (САЩ, течна) на ден"
JE,joule per kelvin,джаул на келвин
JK,megajoule per kilogram,мегаджаул на килограм
JM,megajoule per cubic metre,мегаджаул на кубичен метър
JOU,joule,джаул
JPS,hundred metre,сто метра
JWL,number of jewels,брой скъпоценни камъни
K10,ounce (US fluid) per hour,"унция (САЩ, течна) на час"
K11,ounce (US fluid) per minute,"унция (САЩ, течна) в минута"
K12,ounce (US fluid) per second,"унция (САЩ, течна) в секунда"
K13,foot per degree Fahrenheit,фут на градус Фаренхайт
K14,foot per hour,фут в час
K15,foot pound-force per hour,фут фунт-сила в час
K16,foot pound-force per minute,фут фунт-сила в минута
K17,foot per psi,фут на psi
K18,foot per second degree Fahrenheit,фут на секунда градус Фаренхайт
K19,foot per second psi,фут на секунда фунт-сила на квадратен инч
K20,reciprocal cubic foot,реципрочен кубичен фут
K21,cubic foot per degree Fahrenheit,кубичен фут на градус Фаренхайт
K22,cubic foot per day,кубичен фут на ден
K23,cubic foot per psi,кубичен фут на фунт-сила на квадратен инч
K26,gallon (UK) per day,галон (Великобритания) на ден
K27,gallon (UK) per hour,галон (Великобритания) в час
K28,gallon (UK) per second,галон (Великобритания) в секунда
K3,kilovolt ampere reactive hour,киловолт ампер реактивен час
K30,gallon (US liquid) per second,"галон (САЩ, течен) в секунда"
K31,gram-force per square centimetre,грам-сила на квадратен сантиметър
K32,gill (UK) per day,джил(Великобритания) на ден
K33,gill (UK) per hour,джил (Великобритания) на час
K34,gill (UK) per minute,джил (Великобритания) в минута
K35,gill (UK) per second,джил (Великобритания) в секунда
K36,gill (US) per day,джил (САЩ) на ден
K37,gill (US) per hour,джил (САЩ) в час
K38,gill (US) per minute,джил (САЩ) в минута
K39,gill (US) per second,джил (САЩ) в секунда
K40,standard acceleration of free fall,стандартно ускорение при свободно падане
K41,grain per gallon (US),фунт за галон (САЩ)
K42,horsepower (boiler),конска сила (парна)
K43,horsepower (electric),конска сила (електрически)
K45,inch per degree Fahrenheit,инч за градус по Фаренхайт
K46,inch per psi,инч на фунт-сила на квадратен инч
K47,inch per second degree Fahrenheit,инч на секунда за градус Фаренхайт
K48,inch per second psi,инч на секунда фунт-сила на квадратен инч
K49,reciprocal cubic inch,реципрочен кубичен инч
K50,kilobaud,килобод
K51,kilocalorie (mean),килокалория (средно)
K52,kilocalorie (international table) per hour metre degree Celsius,килокалория (международна таблица) в час метър градус по Целзий
K53,kilocalorie (thermochemical),килокалория (термохимична)
K54,kilocalorie (thermochemical) per minute,килокалория (термохимична) в минута
K55,kilocalorie (thermochemical) per second,килокалория (термохимична) в секунда
K58,kilomole per hour,киломол на час
K59,kilomole per cubic metre kelvin,киломол на кубичен метър келвин
K6,kilolitre,килолитър
K60,kilomole per cubic metre bar,киломол на кубичен метър бар
K61,kilomole per minute,киломол в минута
K62,litre per litre,литър за литър
K64,pound (avoirdupois) per degree Fahrenheit,фунт (авоардюпоа) за градус по Фаренхайт
K65,pound (avoirdupois) square foot,фунт (авоардюпоа) квадратен фут
K66,pound (avoirdupois) per day,фунт (авоардюпоа) на ден
K67,pound per foot hour,фунт на фут час
K68,pound per foot second,фунт на фут секунда
K69,pound (avoirdupois) per cubic foot degree Fahrenheit,фунт (авоардюпоа) на кубичен фут градус по Фаренхайт
K70,pound (avoirdupois) per cubic foot psi,фунт (авоардюпоа) на кубичен фут фунт-сила на квадратен инч
K71,pound (avoirdupois) per gallon (UK),фунт (авоардюпоа) за галон (Великобритания)
K73,pound (avoirdupois) per hour degree Fahrenheit,фунт (авоардюпоа) на час градус по Фаренхайт
K74,pound (avoirdupois) per hour psi,фунт (авоардюпоа) на час фунт-сила на квадратен инч
K75,pound (avoirdupois) per cubic inch degree Fahrenheit,фунт (авоардюпоа) на кубичен инч градус по Фаренхайт
K76,pound (avoirdupois) per cubic inch psi,фунт (авоардюпоа) на кубичен инч фунт-сила на квадратен инч
K77,pound (avoirdupois) per psi,фунт (авоардюпоа) на фунт-сила на квадратен инч
K78,pound (avoirdupois) per minute,фунт (авоардюпоа) в минута
K79,pound (avoirdupois) per minute degree Fahrenheit,фунт (авоардюпоа) на минута градус Фаренхайт
K80,pound (avoirdupois) per minute psi,фунт (авоардюпоа) на минута фунт-сила на квадратен инч
K81,pound (avoirdupois) per second,фунт (авоардюпоа) в секунда
K82,pound (avoirdupois) per second degree Fahrenheit,фунт (авоардюпоа) на секунда градус по Фаренхайт
K83,pound (avoirdupois) per second psi,фунт (авоардюпоа) на секунда фунт-сила на квадратен инч
K84,pound per cubic yard,фунт на кубичен метър
K85,pound-force per square foot,фунт-сила на квадратен фут
K86,pound-force per square inch degree Fahrenheit,фунт-сила за квадратен инч градус по Фаренхайт
K87,psi cubic inch per second,фунт-сила на квадратен инч кубичен инч в секунда
K88,psi litre per second,фунт-сила на квадратен инч литър в секунда
K89,psi cubic metre per second,фунт-сила на квадратен инч кубичен метър в секунда
K90,psi cubic yard per second,фунт-сила на квадратен инч кубичен метър в секунда
K91,pound-force second per square foot,фунт-сила секунда на квадратен фут
K92,pound-force second per square inch,фунт-сила секунда на квадратен инч
K94,quart (UK liquid) per day,"кварта (Великобритания, течна) на ден"
K95,quart (UK liquid) per hour,"кварта (Великобритания, течна) в час"
K96,quart (UK liquid) per minute,"кварта (Великобритания, течна) в минута"
K97,quart (UK liquid) per second,"кварта (Великобритания, течна) в секунда"
K98,quart (US liquid) per day,"кварта (САЩ, течна) на ден"
K99,quart (US liquid) per hour,"кварта (САЩ, течна) на час"
KA,cake,пита
KAT,katal,катал
KB,kilocharacter,килосимвол
KBA,kilobar,килобар
KCC,kilogram of choline chloride,килограм холинов хлорид
KDW,kilogram drained net weight,килограм отцедено нетно тегло
KEL,kelvin,келвин
KGM,kilogram,килограм
KGS,kilogram per second,килограм за секунда
KHY,kilogram of hydrogen peroxide,килограм водороден пероксид
KHZ,kilohertz,килохерц
KI,kilogram per millimetre width,килограм на милиметър ширина
KIC,"kilogram, including container","килограм, заедно с контейнера"
KIP,"kilogram, including inner packaging","килограм,заедно с вътрешната опаковка"
KJ,kilosegment,килосегмент
KJO,kilojoule,килоджаул
KL,kilogram per metre,килограм на метър
KLK,lactic dry material percentage,процент млечно сухо вещество
KLX,kilolux,килолукс
KMA,kilogram of methylamine,килограм метиламин
KMH,kilometre per hour,километър в час
KMK,square kilometre,квадратен километър
KMQ,kilogram per cubic metre,килограм на кубичен метър
KMT,kilometre,километър
KNI,kilogram of nitrogen,килограм азот
KNM,kilonewton per square metre,килонютон на квадратен метър
KNS,kilogram named substance,килограм указано вещество
KNT,knot,възел
KO,milliequivalence caustic potash per gram of product,милиеквивалент на калиева основа на грам продукт
KPA,kilopascal,килопаскал
KPH,kilogram of potassium hydroxide (caustic potash),килограм калиев хидроксид (калиева основа)
KPO,kilogram of potassium oxide,килограм калиев оксид
KPP,kilogram of phosphorus pentoxide (phosphoric anhydride),килограм фосфорен пентаоксид (фосфорен анхидрид)
KR,kiloroentgen,килорентген
KSD,kilogram of substance 90 % dry,килограм 90% суха субстанция
KSH,kilogram of sodium hydroxide (caustic soda),килограм натриев хидроксид (сода каустик)
KT,kit,комплект
KTN,kilotonne,килотон
KUR,kilogram of uranium,килограм уран
KVA,kilovolt - ampere,киловолтампер
KVR,kilovar,киловар
KVT,kilovolt,киловолт
KW,kilogram per millimetre,килограм на милиметър
KWH,kilowatt hour,киловатчас
KWN,Kilowatt hour per normalized cubic metre,Киловатчас на нормализиран кубичен метър
KWO,kilogram of tungsten trioxide,килограм волфрамов триоксид
KWS,Kilowatt hour per standard cubic metre,Киловатчас на стандартен кубичен метър
KWT,kilowatt,киловат
KX,millilitre per kilogram,милилитър на килограм
L10,quart (US liquid) per minute,"кварта (САЩ, течна) в минута"
L11,quart (US liquid) per second,"кварта (САЩ, течна) в секунда"
L12,metre per second kelvin,метър на секунда келвин
L13,metre per second bar,метър на секунда бар
L14,square metre hour degree Celsius per kilocalorie (international table),квадратен метър час градус Целзий за килокалория (международна таблица)
L15,millipascal second per kelvin,милипаскал секунда на келвин
L16,millipascal second per bar,милипаскал секунда на бар
L17,milligram per cubic metre kelvin,милиграм на кубичен метър келвин
L18,milligram per cubic metre bar,милиграм на кубичен метър бар
L19,millilitre per litre,милилитър за литър
L2,litre per minute,литър за минута
L21,cubic millimetre per cubic metre,кубичен милиметър на кубичен метър
L23,mole per hour,мол на час
L24,mole per kilogram kelvin,мол на килограм келвин
L25,mole per kilogram bar,мол на килограм бар
L26,mole per litre kelvin,мол на литър келвин
L27,mole per litre bar,мол на литър бар
L28,mole per cubic metre kelvin,мол на кубичен метър келвин
L29,mole per cubic metre bar,мол на кубичен метър бар
L30,mole per minute,мол на минута
L31,milliroentgen aequivalent men,биологичен еквивалент на милирентген
L32,nanogram per kilogram,нанограм на килограм
L33,ounce (avoirdupois) per day,унция (авоардюпоа) на ден
L34,ounce (avoirdupois) per hour,унция (авоардюпоа) на час
L35,ounce (avoirdupois) per minute,унция (авоардюпоа) на минута
L36,ounce (avoirdupois) per second,унция (авоардюпоа) на секунда
L37,ounce (avoirdupois) per gallon (UK),унция (авоардюпоа) на галон (Великобритания)
L38,ounce (avoirdupois) per gallon (US),унция (авоардюпоа) на галон (САЩ)
L39,ounce (avoirdupois) per cubic inch,унция (авоардюпоа) на кубичен инч
L40,ounce (avoirdupois)-force,унция (авоардюпоа)-сила
L41,ounce (avoirdupois)-force inch,унция (авоардюпоа)-сила инч
L42,picosiemens per metre,пикосименс за метър
L43,peck (UK),пек (Великобритания)
L44,peck (UK) per day,пек (Великобритания) на ден
L45,peck (UK) per hour,пек (Великобритания) на час
L46,peck (UK) per minute,пек (Великобритания) на минута
L47,peck (UK) per second,пек (Великобритания) на секунда
L48,peck (US dry) per day,"пек (САЩ, сух) на ден"
L49,peck (US dry) per hour,"пек (САЩ, сух) на час"
L50,peck (US dry) per minute,"пек (САЩ, сух) на минута"
L51,peck (US dry) per second,"пек (САЩ, сух) на секунда"
L52,psi per psi,фунт-сила на квадратен инч на фунт-сила на квадратен инч
L53,pint (UK) per day,пинта (Великобритания) на ден
L54,pint (UK) per hour,пинта (Великобритания) на час
L55,pint (UK) per minute,пинта (Великобритания) на минута
L56,pint (UK) per second,пинта (Великобритания) на секунда
L57,pint (US liquid) per day,"пинта (САЩ, течнат) на ден"
L58,pint (US liquid) per hour,"пинта (САЩ, течна) на час"
L59,pint (US liquid) per minute,"пинта (САЩ, течна) на минута"
L60,pint (US liquid) per second,"пинта (САЩ, течна) на секунда"
L63,slug per day,слаг на ден
L64,slug per foot second,сла на фут в секунда
L65,slug per cubic foot,слаг на кубичен фут
L66,slug per hour,слаг на час
L67,slug per minute,слаг на минута
L68,slug per second,слаг на секунда
L69,tonne per kelvin,тон за келвин
L70,tonne per bar,тон за бар
L71,tonne per day,тон за ден
L72,tonne per day kelvin,тон за ден келвин
L73,tonne per day bar,тон за ден бар
L74,tonne per hour kelvin,тон за час келвин
L75,tonne per hour bar,тон за час бар
L76,tonne per cubic metre kelvin,мол за кубичен метър келвин
L77,tonne per cubic metre bar,тон за кубичен метър бар
L78,tonne per minute,тон за минута
L79,tonne per minute kelvin,тон за минута келвин
L80,tonne per minute bar,тон за минута бар
L81,tonne per second,тон за секунда
L82,tonne per second kelvin,тон за секунда келвин
L83,tonne per second bar,тон за секунда бар
L84,ton (UK shipping),"тон (Великобритания, товарен)"
L85,ton long per day,дълъг тон на ден
L86,ton (US shipping),"тон (САЩ, товарен)"
L87,ton short per degree Fahrenheit,къс тон на градус по Фаренхайт
L88,ton short per day,къс тон на ден
L89,ton short per hour degree Fahrenheit,къс тон в час градус по Фаренхайт
L90,ton short per hour psi,къс тон в час фунт-сила на квадратен инч
L91,ton short per psi,къс тон на фунт-сила на квадратен инч
L92,ton (UK long) per cubic yard,"тон (Великобритания, дълъг) за кубичен ярд"
L93,ton (US short) per cubic yard,"тон (САЩ, къс) за кубичен ярд"
L94,ton-force (US short),"тон-сила (САЩ, къс)"
L95,common year,невисокосна година
L96,sidereal year,звездна година
L98,yard per degree Fahrenheit,ярд на градус Фаренхайт
L99,yard per psi,ярд на фунт-сила на квадратен инч
LA,pound per cubic inch,фунт на кубичен инч
LAC,lactose excess percentage,излишък на лактоза в процент
LBR,pound,фунт
LBT,troy pound (US),тройфунт (САЩ)
LD,litre per day,литър на ден
LEF,leaf,лист
LF,linear foot,линеен фут
LH,labour hour,работен час
LK,link,брънка
LM,linear metre,линеен метър
LN,length,дължина
LO,lot  [unit of procurement],партида [единица за снабдяване]
LP,liquid pound,фунт течност
LPA,litre of pure alcohol,литър чист алкохол
LR,layer,слой
LS,lump sum,еднократна сума
LTN,ton (UK) or long ton (US),тон (Великобритания) или дълъг тон (САЩ)
LTR,litre,литър
LUB,"metric ton, lubricating oil","метричен тон, смазочно масло"
LUM,lumen,лумен
LUX,lux,лукс
LY,linear yard,линеен ярд
M1,milligram per litre,милиграм на литър
M11,cubic yard per degree Fahrenheit,кубичен ярд на градус по Фаренхайт
M12,cubic yard per day,кубичен ярд на ден
M13,cubic yard per hour,кубичен ярд на час
M14,cubic yard per psi,кубичен ярд на фунт-сила на квадратен инч
M15,cubic yard per minute,кубичен ярд на минута
M16,cubic yard per second,кубичен ярд на секунда
M17,kilohertz metre,килохерц метър
M18,gigahertz metre,гигахерц метър
M19,Beaufort,Бофорт
M22,millilitre per square centimetre minute,милилитър на квадратен сантиметър минута
M23,newton per centimetre,нютон на сантиметър
M24,ohm kilometre,ом километър
M25,percent per degree Celsius,процент за градус Целзий
M26,gigaohm per metre,гигаом на метър
M27,megahertz metre,мегахерц метър
M29,kilogram per kilogram,килограм на килограм
M31,kilogram per kilometre,килограм на километър
M32,pascal second per litre,паскал секунда на литър
M33,millimole per litre,милимол на литър
M34,newton metre per square metre,нютон метър на квадратен метър
M35,millivolt - ampere,миливолтампер
M36,30-day month,30-дневен месец
M37,actual/360,фактически/360
M38,kilometre per second squared,километър в секунда на квадрат
M39,centimetre per second squared,сантиметър в секунда на квадрат
M4,monetary value,парична стойност
M40,yard per second squared,ярд в секунда на квадрат
M41,millimetre per second squared,милиметър на секунда на квадрат
M42,mile (statute mile) per second squared,миля (статутна) за секунда на квадрат
M43,mil,мил
M44,revolution,оборот
M45,degree [unit of angle] per second squared,градус [единица за ъгъл] на секунда на квадрат
M46,revolution per minute ,оборот в минута 
M47,circular mil ,кръгов мил 
M48,square mile (based on U.S. survey foot) ,"квадратна миля (на база на земемерен фут, САЩ) "
M5,microcurie,микрокюри
M50,furlong,фърлонг
M51,foot (U.S. survey) ,"фут (САЩ, земемерен) "
M52,mile (based on U.S. survey foot) ,"миля (на база на земемерен фут, САЩ) "
M53,metre per pascal,метър на паскал
M55,metre per radiant,метър на радиан
M56,shake,трептене (единица за време)
M57,mile per minute ,миля в минута 
M58,mile per second ,миля в секунда 
